orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
101361,2023-01-22,2023-01-30,Shipped,28,4986.33,Credit Card
101362,2023-08-07,2023-08-20,Processing,115,2750.95,Bank Transfer
101363,2025-12-08,2025-12-11,Shipped,387,1672.59,PayPal
101364,2025-10-15,2025-10-26,Processing,843,4895.11,Credit Card
101365,2025-04-30,2025-05-03,Processing,697,1072.44,Credit Card
101366,2024-12-09,2024-12-16,Processing,79,1559.58,Credit Card
101367,2023-09-10,2023-09-29,Cancelled,589,1437.75,PayPal
101368,2024-04-07,2024-04-17,Shipped,489,1718.04,Credit Card
101369,2023-10-13,2023-10-29,Shipped,835,3616.16,Mobile Payment
101370,2025-11-01,2025-11-08,Shipped,463,1378.72,Credit Card
101371,2023-06-07,2023-06-12,Shipped,38,3478.61,Cash
101372,2024-08-25,2024-09-01,Shipped,418,4703.64,Credit Card
101373,2025-01-21,2025-01-24,Processing,346,1192.06,Mobile Payment
101374,2025-05-27,2025-06-12,Disputed,762,236.56,PayPal
101375,2023-08-27,2023-09-03,Shipped,867,94.75,Credit Card
101376,2024-01-31,2024-02-04,Shipped,209,1809.8,Credit Card
101377,2023-07-01,2023-07-04,Shipped,702,2280.87,Credit Card
101378,2024-03-11,2024-03-17,Disputed,787,1096.93,Cash
101379,2024-12-29,2025-01-02,Processing,522,2753.71,Credit Card
101380,2023-08-11,2023-08-29,Cancelled,497,2125.25,PayPal
101381,2023-10-20,2023-10-29,Disputed,852,1322.6,Bank Transfer
101382,2023-03-24,2023-03-30,Shipped,918,2774.88,Bank Transfer
101383,2025-07-05,2025-07-14,Shipped,244,2387.05,PayPal
101384,2025-12-18,2025-12-25,Shipped,218,1172.57,Credit Card
101385,2023-09-12,2023-09-16,Shipped,380,2260.41,PayPal
101386,2023-04-08,2023-04-27,Shipped,579,2906.31,Credit Card
101387,2024-08-15,2024-08-27,Shipped,958,83.79,Mobile Payment
101388,2024-06-06,2024-06-14,Shipped,613,3532.28,PayPal
101389,2025-05-11,2025-05-26,Processing,673,1485.58,PayPal
101390,2025-07-23,2025-07-28,Processing,303,730.18,Bank Transfer
101391,2025-02-25,2025-03-07,Shipped,579,519.21,Credit Card
101392,2025-10-21,2025-11-02,Shipped,812,4874.39,Credit Card
101393,2023-12-25,2024-01-03,Shipped,860,3902.77,Bank Transfer
101394,2024-08-25,2024-09-01,Processing,441,2024.04,PayPal
101395,2023-04-23,2023-05-09,Cancelled,24,4950.16,Credit Card
101396,2025-03-26,2025-04-01,Shipped,428,4861.85,Credit Card
101397,2025-06-24,2025-07-02,Processing,317,2810.49,Mobile Payment
101398,2024-04-12,2024-05-01,Cancelled,334,3352.38,PayPal
101399,2025-01-10,2025-01-20,Processing,533,696.92,Cash
101400,2023-02-05,2023-02-17,Processing,919,1726.69,Credit Card
101401,2023-08-30,2023-09-06,Resolved,580,3051.99,Credit Card
101402,2023-10-29,2023-11-13,Shipped,368,2724.78,Credit Card
101403,2024-06-28,2024-07-03,Processing,392,2866.7,Credit Card
101404,2023-05-30,2023-06-08,Shipped,494,4044.67,Credit Card
101405,2023-10-26,2023-11-04,Processing,322,2859.68,Mobile Payment
101406,2023-09-04,2023-09-15,Processing,796,1338.9,PayPal
101407,2024-05-07,2024-05-19,Processing,279,3132.08,Credit Card
101408,2023-03-02,2023-03-10,Shipped,230,9.89,PayPal
101409,2025-11-18,2025-12-04,Cancelled,930,4426.74,Credit Card
101410,2023-04-23,2023-04-29,Processing,782,1939.0,Credit Card
101411,2023-06-16,2023-06-25,Processing,343,4118.68,Bank Transfer
101412,2023-02-22,2023-02-26,Resolved,385,2641.42,PayPal
101413,2024-07-25,2024-07-30,Shipped,622,370.45,Bank Transfer
101414,2023-04-22,2023-05-09,Shipped,182,4315.18,PayPal
101415,2025-06-26,2025-07-12,Cancelled,52,3651.23,Credit Card
101416,2024-07-27,2024-08-07,Shipped,508,2206.04,PayPal
101417,2025-03-11,2025-03-19,Shipped,966,2247.88,Credit Card
101418,2025-04-05,2025-04-21,On Hold,611,690.28,Credit Card
101419,2023-07-08,2023-07-26,Processing,846,2373.33,Credit Card
101420,2023-04-08,2023-04-16,Shipped,955,3010.98,Bank Transfer
101421,2024-06-23,2024-06-26,Shipped,537,3374.79,Credit Card
101422,2024-02-04,2024-02-13,Shipped,238,450.49,Credit Card
101423,2024-10-05,2024-10-19,Processing,176,1017.08,Mobile Payment
101424,2025-04-01,2025-04-07,Shipped,950,400.36,Credit Card
101425,2023-12-03,2023-12-09,Shipped,168,7.32,Credit Card
101426,2025-05-14,2025-05-24,Processing,686,1592.19,Credit Card
101427,2024-12-07,2024-12-22,Shipped,224,2240.21,Cash
101428,2024-08-30,2024-09-11,Shipped,51,3631.3,Credit Card
101429,2024-10-23,2024-10-27,Shipped,406,1473.61,Credit Card
101430,2023-07-13,2023-07-29,Shipped,55,1186.36,Credit Card
101431,2024-05-27,2024-06-02,Shipped,548,545.87,Credit Card
101432,2025-08-06,2025-08-24,On Hold,175,4576.28,Credit Card
101433,2023-11-27,2023-12-02,Processing,916,4104.07,PayPal
101434,2024-01-09,2024-01-15,Cancelled,268,2599.53,Mobile Payment
101435,2023-12-18,2024-01-07,Shipped,850,2459.07,Bank Transfer
101436,2025-06-15,2025-06-25,Processing,888,4132.54,Cash
101437,2024-05-12,2024-05-18,Processing,182,2719.84,Mobile Payment
101438,2025-04-16,2025-04-19,Shipped,587,3752.6,Mobile Payment
101439,2023-02-16,2023-03-06,Processing,603,2725.27,PayPal
101440,2025-04-04,2025-04-10,Shipped,717,310.14,Cash
101441,2025-10-13,2025-10-23,Resolved,531,3900.53,Credit Card
101442,2023-02-01,2023-02-15,Processing,386,2705.4,Credit Card
101443,2023-12-17,2023-12-25,Shipped,358,1642.81,Credit Card
101444,2025-03-16,2025-03-30,Shipped,344,2697.68,Credit Card
101445,2023-08-03,2023-08-14,Shipped,154,3663.79,PayPal
101446,2023-12-23,2023-12-28,Disputed,143,1640.33,Credit Card
101447,2025-07-24,2025-07-28,Shipped,548,3863.99,Credit Card
101448,2025-05-30,2025-06-19,Shipped,560,4341.05,Mobile Payment
101449,2023-09-17,2023-09-21,Processing,818,174.39,PayPal
101450,2024-04-15,2024-05-05,Shipped,737,2993.12,PayPal
101451,2025-11-05,2025-11-17,Cancelled,306,4413.04,Credit Card
101452,2025-11-14,2025-12-04,Cancelled,663,424.65,Credit Card
101453,2025-11-05,2025-11-22,Disputed,770,4565.03,PayPal
101454,2025-06-22,2025-06-27,Shipped,184,1180.23,PayPal
101455,2025-07-05,2025-07-20,Shipped,553,3846.69,PayPal
101456,2023-02-23,2023-03-12,Shipped,799,394.57,PayPal
101457,2025-08-02,2025-08-20,Cancelled,505,1925.45,Credit Card
101458,2025-06-12,2025-07-01,Shipped,866,773.81,Bank Transfer
101459,2024-10-17,2024-11-05,Shipped,506,4970.99,Credit Card
101460,2025-12-25,2026-01-07,On Hold,1,1995.98,Credit Card
101461,2024-05-01,2024-05-15,Shipped,276,4415.69,PayPal
101462,2025-01-08,2025-01-23,Shipped,635,1662.73,Credit Card
101463,2023-03-20,2023-03-23,On Hold,172,1401.59,PayPal
101464,2024-12-02,2024-12-16,Shipped,187,4671.48,Credit Card
101465,2025-03-18,2025-03-27,Shipped,847,4077.06,Credit Card
101466,2024-05-20,2024-05-27,On Hold,758,2882.39,Credit Card
101467,2025-03-12,2025-03-22,Processing,200,2733.18,Mobile Payment
101468,2023-07-31,2023-08-13,Shipped,267,402.64,PayPal
101469,2024-11-02,2024-11-10,Shipped,346,3613.49,Mobile Payment
101470,2023-12-31,2024-01-13,Shipped,992,2879.34,Credit Card
101471,2024-03-29,2024-04-08,Shipped,623,3909.5,Credit Card
101472,2024-04-02,2024-04-21,Shipped,728,1959.14,Credit Card
101473,2025-09-29,2025-10-18,Shipped,396,4748.14,PayPal
101474,2023-02-02,2023-02-15,Processing,792,3402.11,Bank Transfer
101475,2024-04-04,2024-04-07,Shipped,644,3117.79,Cash
101476,2025-11-15,2025-11-20,Resolved,116,4569.83,PayPal
101477,2023-12-04,2023-12-08,Shipped,854,3524.91,PayPal
101478,2024-07-05,2024-07-09,Shipped,373,1054.88,Credit Card
101479,2024-10-28,2024-11-09,Shipped,335,4138.86,Credit Card
101480,2024-03-19,2024-03-27,Shipped,908,1076.27,Credit Card
101481,2025-12-10,2025-12-16,Shipped,437,2239.4,Credit Card
101482,2023-02-02,2023-02-13,Disputed,154,3487.14,PayPal
101483,2023-08-12,2023-08-24,Disputed,812,440.25,Bank Transfer
101484,2023-12-30,2024-01-16,Shipped,542,4740.14,Credit Card
101485,2025-12-08,2025-12-26,Shipped,620,3663.85,Credit Card
101486,2025-09-05,2025-09-08,Shipped,133,1178.87,PayPal
101487,2024-12-14,2024-12-29,Shipped,141,4676.19,PayPal
101488,2025-05-26,2025-06-11,Shipped,333,4320.85,PayPal
101489,2025-04-30,2025-05-17,Shipped,287,1496.76,Credit Card
101490,2025-10-06,2025-10-19,Shipped,759,4466.39,Credit Card
101491,2024-11-26,2024-12-12,Disputed,816,4334.63,Bank Transfer
101492,2024-08-12,2024-08-20,Shipped,312,4790.24,Mobile Payment
101493,2023-06-19,2023-07-05,Disputed,27,684.95,Cash
101494,2023-03-22,2023-03-26,Shipped,315,1865.66,Credit Card
101495,2024-04-20,2024-04-25,Disputed,135,3215.04,Bank Transfer
101496,2023-08-26,2023-09-08,Processing,71,1045.68,Credit Card
101497,2025-09-11,2025-09-15,Shipped,649,3166.86,PayPal
101498,2024-01-09,2024-01-15,Shipped,292,4256.36,PayPal
101499,2025-02-23,2025-03-10,Shipped,734,2455.69,Credit Card
101500,2024-03-30,2024-04-15,Shipped,653,3945.19,Bank Transfer
101501,2024-08-22,2024-09-07,Shipped,7,653.03,Bank Transfer
101502,2023-12-10,2023-12-24,Shipped,973,4793.66,PayPal
101503,2023-12-21,2024-01-10,Processing,109,3686.55,Credit Card
101504,2023-05-09,2023-05-16,Shipped,147,4393.93,PayPal
101505,2024-09-16,2024-09-21,Shipped,757,45.53,Credit Card
101506,2024-05-16,2024-06-01,Shipped,164,1023.77,PayPal
101507,2024-12-07,2024-12-10,Shipped,786,2360.95,PayPal
101508,2023-06-28,2023-07-15,Shipped,186,4499.76,Credit Card
101509,2024-10-19,2024-10-30,Processing,372,2812.4,Credit Card
101510,2023-10-05,2023-10-20,Shipped,585,4710.98,Credit Card
101511,2023-07-04,2023-07-23,Processing,876,3350.57,Credit Card
101512,2024-05-08,2024-05-14,Shipped,563,4345.81,Bank Transfer
101513,2023-09-05,2023-09-23,Shipped,469,3438.98,Credit Card
101514,2024-03-20,2024-03-28,Disputed,949,151.19,Credit Card
101515,2023-11-14,2023-11-23,Processing,903,860.11,Credit Card
101516,2025-05-24,2025-06-06,On Hold,600,381.44,Credit Card
101517,2023-10-22,2023-11-01,Processing,333,3268.33,Bank Transfer
101518,2024-05-15,2024-06-04,Shipped,570,4698.78,Credit Card
101519,2023-09-08,2023-09-26,Processing,475,3686.89,Cash
101520,2024-03-24,2024-04-01,Processing,297,1239.44,Credit Card
101521,2024-11-12,2024-11-23,Processing,592,4054.76,Bank Transfer
101522,2023-08-27,2023-09-04,Processing,619,4125.22,Cash
101523,2025-06-17,2025-06-20,Shipped,179,2203.51,Credit Card
101524,2024-11-09,2024-11-19,On Hold,611,2345.21,PayPal
101525,2025-10-16,2025-10-22,Shipped,725,4477.44,Credit Card
101526,2025-11-28,2025-12-08,Shipped,29,4062.54,Bank Transfer
101527,2023-07-21,2023-07-28,Processing,407,3647.37,Bank Transfer
101528,2023-04-22,2023-05-12,Shipped,39,4417.44,Credit Card
101529,2025-09-28,2025-10-15,Shipped,519,4318.8,Credit Card
101530,2024-03-07,2024-03-21,On Hold,366,927.36,PayPal
101531,2025-03-18,2025-03-22,Processing,945,3754.28,Mobile Payment
101532,2023-03-24,2023-04-02,Shipped,310,1185.26,Credit Card
101533,2023-06-17,2023-06-30,Shipped,69,1737.7,Cash
101534,2024-03-06,2024-03-11,Shipped,153,3216.34,Credit Card
101535,2024-12-14,2024-12-17,Shipped,204,2392.45,PayPal
101536,2025-11-13,2025-11-22,Shipped,844,985.68,Credit Card
101537,2025-05-01,2025-05-19,Shipped,704,2969.46,Credit Card
101538,2023-08-24,2023-08-31,Shipped,649,758.9,Credit Card
101539,2024-02-29,2024-03-08,Shipped,704,4620.32,Mobile Payment
101540,2025-04-19,2025-05-06,Processing,143,272.25,PayPal
101541,2023-07-02,2023-07-08,Shipped,413,527.01,Mobile Payment
101542,2023-03-27,2023-04-02,Cancelled,33,2235.22,Bank Transfer
101543,2025-12-19,2026-01-05,Resolved,203,4627.79,Bank Transfer
101544,2024-03-14,2024-03-18,Shipped,198,2160.09,Credit Card
101545,2023-01-28,2023-02-05,Shipped,898,3327.39,Credit Card
101546,2025-12-02,2025-12-08,Shipped,804,1413.81,Credit Card
101547,2024-08-05,2024-08-08,Processing,700,1976.94,PayPal
101548,2024-11-21,2024-11-24,Shipped,335,4910.01,Credit Card
101549,2024-08-10,2024-08-25,Shipped,861,4117.07,Credit Card
101550,2025-01-21,2025-02-04,Processing,860,3955.92,Bank Transfer
101551,2023-01-03,2023-01-12,Processing,583,2983.03,Credit Card
101552,2025-10-13,2025-10-16,Processing,235,4844.58,Credit Card
101553,2024-07-18,2024-07-27,Shipped,368,2750.73,PayPal
101554,2025-03-04,2025-03-16,Processing,134,1064.0,Credit Card
101555,2023-06-03,2023-06-10,Shipped,494,4651.28,Credit Card
101556,2025-01-11,2025-01-19,Shipped,571,2476.81,Credit Card
101557,2023-05-06,2023-05-23,Processing,988,431.44,Credit Card
101558,2023-02-15,2023-03-03,Shipped,130,4300.75,PayPal
101559,2023-08-08,2023-08-21,Shipped,976,4320.96,Bank Transfer
101560,2023-01-16,2023-01-26,Processing,888,1430.85,Credit Card
101561,2023-09-13,2023-09-16,Cancelled,930,4525.96,Mobile Payment
101562,2025-07-13,2025-07-27,Shipped,806,1544.76,Credit Card
101563,2025-06-25,2025-07-09,Shipped,436,4218.31,Mobile Payment
101564,2024-05-29,2024-06-16,Processing,141,4184.67,Credit Card
101565,2025-06-08,2025-06-11,Shipped,569,301.7,Credit Card
101566,2025-11-19,2025-11-25,Shipped,28,4031.45,Bank Transfer
101567,2025-04-24,2025-05-14,Shipped,461,1996.2,Bank Transfer
101568,2023-07-04,2023-07-22,Shipped,529,217.9,Credit Card
101569,2023-07-19,2023-08-02,Shipped,152,2965.77,Cash
101570,2023-08-10,2023-08-23,Processing,475,426.75,PayPal
101571,2025-04-16,2025-05-03,Shipped,56,2312.42,Credit Card
101572,2023-06-13,2023-06-17,Processing,295,1808.8,PayPal
101573,2024-07-18,2024-08-05,Shipped,821,2006.08,Credit Card
101574,2024-02-07,2024-02-10,Shipped,446,912.72,PayPal
101575,2025-12-17,2025-12-31,Shipped,721,2150.28,Credit Card
101576,2023-03-02,2023-03-11,Shipped,6,1672.14,Mobile Payment
101577,2024-02-15,2024-03-01,Shipped,830,4597.68,Credit Card
101578,2024-06-04,2024-06-20,Processing,448,4116.85,Credit Card
101579,2023-05-12,2023-05-31,Shipped,142,3498.89,Credit Card
101580,2023-03-07,2023-03-11,Disputed,413,2076.95,Credit Card
101581,2024-11-07,2024-11-10,Processing,815,586.82,Credit Card
101582,2025-09-21,2025-10-08,Shipped,259,191.57,Bank Transfer
101583,2024-06-21,2024-07-01,Shipped,965,2762.41,Bank Transfer
101584,2024-07-06,2024-07-09,Shipped,684,4987.44,Credit Card
101585,2023-12-19,2023-12-23,Shipped,624,2511.67,Bank Transfer
101586,2024-09-01,2024-09-19,Resolved,405,3917.71,PayPal
101587,2025-10-06,2025-10-16,Cancelled,204,2318.92,Credit Card
101588,2023-09-04,2023-09-20,Shipped,570,3750.78,Credit Card
101589,2025-02-21,2025-02-27,Shipped,497,1436.84,Credit Card
101590,2025-09-09,2025-09-20,Shipped,851,875.11,Credit Card
101591,2024-01-10,2024-01-19,Processing,991,2579.36,PayPal
101592,2024-08-15,2024-08-21,Disputed,457,4036.03,Credit Card
101593,2024-06-24,2024-07-02,Processing,869,4940.29,PayPal
101594,2023-02-23,2023-03-04,Shipped,528,2306.41,Mobile Payment
101595,2023-12-18,2023-12-24,Shipped,57,4205.93,PayPal
101596,2023-02-26,2023-03-09,Shipped,954,4510.17,PayPal
101597,2023-06-21,2023-07-01,Shipped,719,3755.87,PayPal
101598,2025-10-30,2025-11-16,Resolved,919,564.22,Mobile Payment
101599,2023-02-15,2023-03-07,Shipped,602,4823.09,Mobile Payment
101600,2025-11-06,2025-11-09,Processing,872,357.69,PayPal
101601,2025-03-28,2025-04-08,Shipped,142,807.78,Credit Card
101602,2024-12-30,2025-01-18,Shipped,950,1169.52,Mobile Payment
101603,2025-11-04,2025-11-18,Shipped,12,2697.8,Credit Card
101604,2023-02-22,2023-03-05,Shipped,429,2374.17,Credit Card
101605,2023-07-11,2023-07-19,Processing,390,2819.33,Credit Card
101606,2025-04-05,2025-04-10,Processing,685,424.74,Credit Card
101607,2025-10-20,2025-10-31,Processing,615,3353.71,PayPal
101608,2025-10-30,2025-11-06,Shipped,771,1963.56,Mobile Payment
101609,2025-09-04,2025-09-08,Shipped,603,1776.43,Bank Transfer
101610,2024-06-13,2024-06-18,Processing,434,566.9,Credit Card
101611,2025-10-09,2025-10-29,Cancelled,182,2440.1,PayPal
101612,2024-04-04,2024-04-17,Processing,363,539.51,Mobile Payment
101613,2025-03-26,2025-04-03,Shipped,47,4424.41,Mobile Payment
101614,2024-08-02,2024-08-17,Shipped,255,3603.17,Mobile Payment
101615,2025-05-29,2025-06-01,Shipped,524,1565.41,Credit Card
101616,2023-01-24,2023-01-31,Shipped,105,1932.75,Credit Card
101617,2024-12-29,2025-01-08,Processing,417,1379.71,PayPal
101618,2023-01-01,2023-01-20,Disputed,984,3947.77,Credit Card
101619,2025-12-30,2026-01-14,Shipped,514,1143.62,Credit Card
101620,2025-06-11,2025-06-18,Disputed,405,2400.22,Mobile Payment
101621,2025-12-15,2026-01-01,Cancelled,70,2127.45,PayPal
101622,2023-05-10,2023-05-15,Shipped,220,4993.56,Credit Card
101623,2024-05-23,2024-06-06,On Hold,615,3202.28,Credit Card
101624,2024-02-23,2024-03-10,Shipped,219,2378.18,Credit Card
101625,2023-01-01,2023-01-14,Shipped,255,223.74,Credit Card
101626,2025-11-12,2025-11-18,Shipped,799,4151.14,Credit Card
101627,2023-12-06,2023-12-20,Resolved,286,3753.63,Credit Card
101628,2024-06-20,2024-06-26,Cancelled,440,1592.83,Credit Card
101629,2024-01-31,2024-02-12,Shipped,807,2838.26,Credit Card
101630,2023-05-10,2023-05-28,Processing,496,4483.4,Mobile Payment
101631,2023-05-14,2023-06-02,Shipped,265,2974.76,PayPal
101632,2023-03-27,2023-04-16,Shipped,930,3648.78,Cash
101633,2025-08-03,2025-08-23,Shipped,279,402.7,Credit Card
101634,2025-11-24,2025-11-30,Processing,860,1635.61,Credit Card
101635,2025-03-18,2025-04-02,Resolved,560,2113.81,PayPal
101636,2024-05-24,2024-06-08,On Hold,563,2204.53,Mobile Payment
101637,2025-02-19,2025-03-03,On Hold,888,456.03,Credit Card
101638,2024-06-18,2024-07-01,Processing,51,557.68,PayPal
101639,2024-01-05,2024-01-09,Processing,800,2391.39,Credit Card
101640,2025-02-20,2025-02-24,Shipped,73,2375.03,Credit Card
101641,2023-05-07,2023-05-17,Processing,551,3764.77,PayPal
101642,2025-03-19,2025-03-28,Shipped,255,2056.89,Bank Transfer
101643,2023-09-15,2023-09-21,Shipped,267,1641.63,PayPal
101644,2025-02-15,2025-03-05,Shipped,26,2972.62,PayPal
101645,2024-09-08,2024-09-15,Shipped,995,2903.92,Credit Card
101646,2024-08-23,2024-09-07,Disputed,699,4326.59,Bank Transfer
101647,2025-06-09,2025-06-25,Shipped,52,1637.74,Credit Card
101648,2023-11-28,2023-12-01,Processing,954,1557.16,Credit Card
101649,2025-01-15,2025-02-02,Processing,349,2689.9,Credit Card
101650,2025-07-11,2025-07-23,Processing,988,1107.56,Bank Transfer
101651,2023-03-01,2023-03-17,Shipped,878,3912.24,Credit Card
101652,2025-04-08,2025-04-23,Processing,875,3169.5,Bank Transfer
101653,2024-11-20,2024-12-02,Shipped,407,3164.96,PayPal
101654,2024-12-11,2024-12-21,Resolved,10,3475.49,PayPal
101655,2023-11-25,2023-12-03,Shipped,156,1474.09,Mobile Payment
101656,2025-07-14,2025-07-30,Disputed,490,3471.28,Credit Card
101657,2025-04-01,2025-04-08,Processing,628,341.32,Credit Card
101658,2023-06-11,2023-06-19,Shipped,103,466.04,Mobile Payment
101659,2025-10-27,2025-11-07,Shipped,530,3198.89,Mobile Payment
101660,2023-01-13,2023-02-02,Shipped,486,2946.11,Mobile Payment
101661,2025-09-12,2025-09-30,Disputed,131,983.44,Credit Card
101662,2025-01-03,2025-01-20,Resolved,919,73.03,Bank Transfer
101663,2025-07-02,2025-07-09,Disputed,419,3963.68,Cash
101664,2025-05-20,2025-05-25,Shipped,114,4598.01,Credit Card
101665,2025-12-18,2025-12-29,Shipped,778,4423.07,Credit Card
101666,2025-05-30,2025-06-13,On Hold,748,1932.42,Bank Transfer
101667,2023-04-09,2023-04-26,Shipped,998,4095.91,Credit Card
101668,2024-06-26,2024-07-15,Shipped,131,621.41,PayPal
101669,2024-04-21,2024-05-10,Shipped,260,1813.34,Bank Transfer
101670,2024-07-03,2024-07-07,Shipped,968,2149.04,Credit Card
101671,2025-01-22,2025-02-03,On Hold,347,3700.14,Cash
101672,2023-06-07,2023-06-13,Shipped,199,775.05,Bank Transfer
101673,2025-07-05,2025-07-17,Processing,630,3827.92,Bank Transfer
101674,2025-10-03,2025-10-08,Shipped,923,3868.9,Bank Transfer
101675,2024-05-12,2024-05-24,Cancelled,695,3712.6,Credit Card
101676,2023-03-04,2023-03-13,Processing,569,2696.79,PayPal
101677,2023-05-30,2023-06-17,Shipped,13,3277.0,Credit Card
101678,2023-05-18,2023-06-02,Disputed,847,213.3,Credit Card
101679,2024-02-03,2024-02-07,Shipped,812,4894.41,Credit Card
101680,2025-10-27,2025-11-03,Shipped,916,1151.04,Bank Transfer
101681,2024-09-17,2024-09-20,Shipped,943,4316.8,Bank Transfer
101682,2023-08-01,2023-08-20,Shipped,894,1984.71,Credit Card
101683,2024-08-09,2024-08-28,Resolved,863,2127.8,Mobile Payment
101684,2024-07-25,2024-08-05,Shipped,687,4777.78,Credit Card
101685,2025-05-25,2025-05-29,Processing,216,4098.15,Cash
101686,2023-05-16,2023-06-03,Cancelled,223,2254.43,Bank Transfer
101687,2023-08-08,2023-08-11,Cancelled,667,3779.48,Bank Transfer
101688,2024-10-18,2024-10-28,Cancelled,127,739.68,Credit Card
101689,2025-10-25,2025-11-13,On Hold,896,2696.64,Credit Card
101690,2025-05-21,2025-06-09,Shipped,159,4424.57,Bank Transfer
101691,2023-05-05,2023-05-17,Disputed,323,2408.8,Bank Transfer
101692,2025-09-08,2025-09-14,Shipped,461,3406.71,Credit Card
101693,2024-04-21,2024-04-25,Processing,883,3645.85,PayPal
101694,2025-02-19,2025-03-02,Shipped,136,4523.27,Bank Transfer
101695,2024-04-08,2024-04-25,Shipped,242,1195.14,Bank Transfer
101696,2023-11-06,2023-11-12,Disputed,676,2750.78,Credit Card
101697,2023-11-18,2023-11-27,Disputed,530,4335.34,Mobile Payment
101698,2024-03-10,2024-03-18,Shipped,46,4081.99,Credit Card
101699,2024-04-16,2024-04-24,Processing,17,319.84,PayPal
101700,2025-08-02,2025-08-18,Shipped,47,4550.65,PayPal
101701,2025-09-11,2025-09-26,Shipped,561,422.64,Credit Card
101702,2025-02-02,2025-02-17,Processing,296,313.25,Bank Transfer
101703,2024-08-15,2024-08-28,Cancelled,657,4717.31,PayPal
101704,2023-04-08,2023-04-26,Shipped,802,3756.62,Cash
101705,2023-10-11,2023-10-20,Shipped,419,4332.44,PayPal
101706,2023-07-20,2023-07-24,Shipped,751,3866.61,Credit Card
101707,2025-04-07,2025-04-15,Shipped,837,4078.82,Mobile Payment
101708,2025-02-15,2025-03-04,Processing,340,102.63,PayPal
101709,2025-06-11,2025-06-27,Disputed,685,1952.72,Credit Card
101710,2023-06-01,2023-06-04,Resolved,403,4581.12,Credit Card
101711,2023-06-27,2023-07-02,Processing,914,4965.62,Credit Card
101712,2024-07-31,2024-08-03,Processing,555,1623.04,Credit Card
101713,2024-07-04,2024-07-22,Shipped,630,80.15,Bank Transfer
101714,2024-02-03,2024-02-19,Shipped,208,1474.53,Credit Card
101715,2025-12-30,2026-01-14,Shipped,622,2298.27,Credit Card
101716,2024-04-24,2024-05-14,Shipped,569,2602.59,PayPal
101717,2023-08-31,2023-09-18,Shipped,699,3303.76,Credit Card
101718,2023-05-29,2023-06-12,Shipped,823,2958.85,Credit Card
101719,2025-07-17,2025-07-22,Shipped,919,1888.39,PayPal
101720,2024-04-29,2024-05-06,Shipped,90,667.84,Cash
101721,2025-01-04,2025-01-21,Processing,647,2612.27,PayPal
101722,2024-01-18,2024-02-02,Shipped,81,2768.71,Credit Card
101723,2025-01-24,2025-01-31,Resolved,803,2307.62,Credit Card
101724,2024-10-05,2024-10-11,Shipped,468,1457.48,Credit Card
101725,2023-10-10,2023-10-28,Shipped,617,928.47,Credit Card
101726,2023-10-24,2023-11-04,Shipped,730,2963.14,Mobile Payment
101727,2025-06-11,2025-06-22,Shipped,145,3017.78,Credit Card
101728,2025-11-15,2025-11-20,Shipped,831,3537.13,Mobile Payment
101729,2024-06-25,2024-07-09,Shipped,136,530.65,PayPal
101730,2024-08-24,2024-09-07,Shipped,856,231.63,Credit Card
101731,2025-11-01,2025-11-08,Shipped,592,711.97,Bank Transfer
101732,2025-01-21,2025-02-08,Processing,728,2874.74,Mobile Payment
101733,2023-04-12,2023-04-17,Cancelled,225,4627.08,Cash
101734,2025-04-19,2025-04-30,Disputed,471,862.53,Bank Transfer
101735,2024-07-24,2024-08-11,Disputed,516,818.96,PayPal
101736,2024-11-02,2024-11-13,Shipped,92,2429.95,PayPal
101737,2025-11-24,2025-12-02,Shipped,269,3586.8,Credit Card
101738,2023-10-07,2023-10-23,Shipped,965,4670.13,Mobile Payment
101739,2025-02-03,2025-02-06,Shipped,61,3932.57,Mobile Payment
101740,2023-05-01,2023-05-06,Shipped,381,4873.75,PayPal
101741,2025-08-07,2025-08-13,Disputed,673,435.44,Credit Card
101742,2023-06-15,2023-06-19,Processing,233,4735.29,Cash
101743,2025-06-21,2025-06-25,Processing,140,1002.05,Credit Card
101744,2023-05-26,2023-06-11,Shipped,697,78.46,Mobile Payment
101745,2024-06-09,2024-06-14,Processing,588,3927.11,PayPal
101746,2024-11-01,2024-11-13,Shipped,662,708.54,PayPal
101747,2025-08-17,2025-09-02,Shipped,587,1070.63,Cash
101748,2024-12-06,2024-12-13,Shipped,286,4782.97,Bank Transfer
101749,2025-04-26,2025-05-01,Disputed,813,3606.15,Mobile Payment
101750,2025-08-29,2025-09-07,Processing,831,2694.41,Credit Card
101751,2023-05-25,2023-05-29,Shipped,47,772.88,Bank Transfer
101752,2025-04-05,2025-04-15,On Hold,71,2344.02,Credit Card
101753,2025-01-07,2025-01-24,Shipped,783,4407.14,Credit Card
101754,2023-11-07,2023-11-23,Shipped,416,4310.91,Mobile Payment
101755,2025-06-10,2025-06-14,Processing,459,972.81,PayPal
101756,2024-05-29,2024-06-10,Resolved,516,980.18,Credit Card
101757,2023-12-29,2024-01-11,Processing,392,4606.08,Bank Transfer
101758,2024-09-02,2024-09-17,Resolved,554,241.93,Credit Card
101759,2025-07-01,2025-07-18,Resolved,722,255.35,Credit Card
101760,2024-11-18,2024-12-02,Shipped,984,1988.34,Credit Card
